,clean_text
1986,"<mark> It also says that £5 billion would be  paid to the rest of the United Kingdom annually to account for its share in the national debt, while public spendingdespite what the hon</mark>"
1987,<mark> Member for Glasgow East would like to do to combat child poverty and poverty across the boardwould have to be capped at 1% less than annual GDP growth</mark>
1988,"<mark> Indeed, if Rishis slick Instagram graphics could be used as a currency, we would probably all be millionaires, just like the Chancellor himself</mark>"
1989,<mark> Inflation is rising at a frighteningly rapid pace this month it rose to 5</mark>
1990,"<mark>4%, the highest in almost 30 years, since March 1992, when it was 7</mark>"
1991,<mark>1%</mark>
1992,<mark> But we have not reached the summit yet Paul Dales of Capital Economics has said that inflation is now expected to hit 7% by April</mark>
1993,<mark> Thats a 141% price increase as it hits the poorest and most vulnerable households</mark>
1994,<mark> The cheapest rice was 45p for a 1 kg bag; today it is £1 for 500 grams</mark>
1995,"<mark> Canned spaghetti was 13p and is now 35p, a price increase of 169%</mark>"
1996,"<mark>1% in the year to October, while electricity climbed by 18</mark>"
1997,<mark>8%</mark>
1998,<mark> National Energy Action estimates that there are already 4</mark>
1999,"<mark>5 million fuelpoor households in the UK, which is nothing short of a disgrace, and if the cap rises, as is predicted, the number will rise to 6 million</mark>"
2000,"<mark> When I met with Age UK and Age Scotland after their snap survey, it was revealed that 96% of their respondents were worried about their energy bills</mark>"
2001,"<mark> In the last year alone, the British Government cut the £20 a week uplift to universal credit</mark>"
2002,"<mark> Indeed, they refused to extend the £20 uplift to the 2</mark>"
2003,<mark>5 million disabled people on legacy benefits</mark>
2004,<mark> Let me be especially clear to the Government that a proliferation of foodbanks is not a sign of the big society; it is a sign of bad policy from people who think that spending £840 on a roll of wallpaper is somehow normal</mark>
2005,"<mark> We want the Chancellor to launch a multibillionpound Brexit recovery fund to mitigate the worst, and growing, costs of Brexit</mark>"
2006,<mark> We need the April benefits uprating to better reflect inflation rates and to reinstate the £20 a week uplift to universal credit which so many of our constituents described as a lifeline</mark>
2007,"<mark> However, the constitutional reality is that, with limited taxraising powers, no borrowing powers and 85% of welfare spending still controlled in this place, those policies can only go so far when they are continually undermined by Tories and Tory Governments whom Scotland did not elect</mark>"
2008,"<mark> They say that a week is a long time in politics, and yes, for Westminster watchers and the chattering classes, defections, letters to the 1922 committee, Tea Room gossip and fizz with Liz are probably all very exciting, but for most of us, it just feels like groundhog day</mark>"
2009,"<mark> Of course, part of the reason they can take these socalled big decisions is that they have the ability to borrow; he just talked about £600 billion</mark>"
2010,<mark> Member will know that the regressive tax hike in national insurance will take away 20% of the pay increase for a band 5 nurse in Scotland</mark>
2011,"<mark> Given that the House has just voted by a clear majority for a motion calling for the Government to reinstate the £20 universal credit uplift, introduce a real living wage of at least £10 an hour and an energy payment for lowincome households, and roll out a child payment similar to that in Scotlandgiven that the Parliament that has been given all this control has just voted for thatcan you inform me when the Government will introduce such measures to help people with the cost of living crisis</mark>"
2012,<mark> With around 1</mark>
2013,"<mark>25 million vacancies across the UK, up 33,000, or 2</mark>"
2014,"<mark>7% in a month, and by 467,000, or 58</mark>"
